Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
粉筒_InPut[24],Powder_Cylinder_InPut[24],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[24]
粉筒_InPut[23],Powder_Cylinder_InPut[23],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[23]
粉筒_InPut[22],Powder_Cylinder_InPut[22],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[22]
粉筒_InPut[21],Powder_Cylinder_InPut[21],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[21]
粉筒_InPut[20],Powder_Cylinder_InPut[20],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[20]
粉筒_InPut[19],Powder_Cylinder_InPut[19],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[19]
粉筒_InPut[18],Powder_Cylinder_InPut[18],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[18]
粉筒_InPut[17],Powder_Cylinder_InPut[17],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[17]
粉筒_InPut[16],Powder_Cylinder_InPut[16],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[16]
粉筒_InPut[15],Powder_Cylinder_InPut[15],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[15]
粉筒_InPut[14],Powder_Cylinder_InPut[14],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[14]
粉筒_InPut[13],Powder_Cylinder_InPut[13],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[13]
粉筒_InPut[12],Powder_Cylinder_InPut[12],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[12]
粉筒_InPut[11],Powder_Cylinder_InPut[11],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[11]
粉筒_InPut[10],Powder_Cylinder_InPut[10],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[10]
粉筒_InPut[9],Powder_Cylinder_InPut[9],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[9]
粉筒_InPut[8],Powder_Cylinder_InPut[8],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[8]
粉筒_InPut[7],Powder_Cylinder_InPut[7],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[7]
粉筒_InPut[6],Powder_Cylinder_InPut[6],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[6]
粉筒_InPut[5],Powder_Cylinder_InPut[5],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[5]
粉筒_InPut[4],Powder_Cylinder_InPut[4],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[4]
粉筒_InPut[3],Powder_Cylinder_InPut[3],VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒_InPut[3]
