序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,机械臂空闲,BOOL,,OFF,不保持,公有,,,
2,机械臂故障,BOOL,,OFF,不保持,公有,,,
3,机械臂复位,BOOL,,OFF,不保持,公有,,,
4,机械臂初始化,BOOL,,OFF,不保持,公有,,,
5,机械臂初始化完成,BOOL,,OFF,不保持,公有,,,
6,机械臂目标位置代码,INT,,0,不保持,公有,,,
7,机械臂目标取放料代码,INT,,0,不保持,公有,,,
8,机械臂动作代码,INT,,0,不保持,公有,,,
9,机械臂动作触发,BOOL,,OFF,不保持,公有,,,
10,机械臂动作完成,BOOL,,OFF,不保持,公有,,,
11,移液搅拌控制,Stru_MesData[3],,...,不保持,公有,,,
,移液搅拌控制[0],Stru_MesData,,,,,,,
,移液搅拌控制[0].磁搅参数温度,INT,,0,,,,,
,移液搅拌控制[0].磁搅参数时间,INT,,0,,,,,
,移液搅拌控制[0].磁搅参数速度,INT,,0,,,,,
,移液搅拌控制[0].注射泵位置,INT,,0,,,,,
,移液搅拌控制[0].移液搅拌占位,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌请求加工,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌参数已下发,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌参数已执行,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌开始加工,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌加工完成,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌初始化,BOOL,,OFF,,,,,
,移液搅拌控制[0].移液搅拌初始化完成,BOOL,,OFF,,,,,
,移液搅拌控制[1],Stru_MesData,,,,,,,
,移液搅拌控制[1].磁搅参数温度,INT,,0,,,,,
,移液搅拌控制[1].磁搅参数时间,INT,,0,,,,,
,移液搅拌控制[1].磁搅参数速度,INT,,0,,,,,
,移液搅拌控制[1].注射泵位置,INT,,0,,,,,
,移液搅拌控制[1].移液搅拌占位,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌请求加工,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌参数已下发,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌参数已执行,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌开始加工,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌加工完成,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌初始化,BOOL,,OFF,,,,,
,移液搅拌控制[1].移液搅拌初始化完成,BOOL,,OFF,,,,,
,移液搅拌控制[2],Stru_MesData,,,,,,,
,移液搅拌控制[2].磁搅参数温度,INT,,0,,,,,
,移液搅拌控制[2].磁搅参数时间,INT,,0,,,,,
,移液搅拌控制[2].磁搅参数速度,INT,,0,,,,,
,移液搅拌控制[2].注射泵位置,INT,,0,,,,,
,移液搅拌控制[2].移液搅拌占位,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌请求加工,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌参数已下发,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌参数已执行,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌开始加工,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌加工完成,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌初始化,BOOL,,OFF,,,,,
,移液搅拌控制[2].移液搅拌初始化完成,BOOL,,OFF,,,,,
12,OP10工位状态,UDT_ST_STATUS[4],,...,不保持,公有,,,
,OP10工位状态[0],UDT_ST_STATUS,,,,,,,
,OP10工位状态[0].Manual,BOOL,,OFF,,,,,
,OP10工位状态[0].Auto,BOOL,,OFF,,,,,
,OP10工位状态[0].Stopped,BOOL,,OFF,,,,,
,OP10工位状态[0].Stopping,BOOL,,OFF,,,,,
,OP10工位状态[0].AutoRunning,BOOL,,OFF,,,,,
,OP10工位状态[0].Homing,BOOL,,OFF,,,,,
,OP10工位状态[0].HomeDone,BOOL,,OFF,,,,,
,OP10工位状态[0].ManualMoved,BOOL,,OFF,,,,,
,OP10工位状态[0].ReadyForNext,BOOL,,OFF,,,,,
,OP10工位状态[0].Err,UDT_ERR,,,,,,,
,OP10工位状态[0].Err.Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Err.Lv1Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Err.Lv2Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Err.Lv3Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Err.Lv4Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Err.Lv5Flag,BOOL,,OFF,,,,,
,OP10工位状态[0].Code,INT,,0,,,,,
,OP10工位状态[1],UDT_ST_STATUS,,,,,,,
,OP10工位状态[1].Manual,BOOL,,OFF,,,,,
,OP10工位状态[1].Auto,BOOL,,OFF,,,,,
,OP10工位状态[1].Stopped,BOOL,,OFF,,,,,
,OP10工位状态[1].Stopping,BOOL,,OFF,,,,,
,OP10工位状态[1].AutoRunning,BOOL,,OFF,,,,,
,OP10工位状态[1].Homing,BOOL,,OFF,,,,,
,OP10工位状态[1].HomeDone,BOOL,,OFF,,,,,
,OP10工位状态[1].ManualMoved,BOOL,,OFF,,,,,
,OP10工位状态[1].ReadyForNext,BOOL,,OFF,,,,,
,OP10工位状态[1].Err,UDT_ERR,,,,,,,
,OP10工位状态[1].Err.Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Err.Lv1Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Err.Lv2Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Err.Lv3Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Err.Lv4Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Err.Lv5Flag,BOOL,,OFF,,,,,
,OP10工位状态[1].Code,INT,,0,,,,,
,OP10工位状态[2],UDT_ST_STATUS,,,,,,,
,OP10工位状态[2].Manual,BOOL,,OFF,,,,,
,OP10工位状态[2].Auto,BOOL,,OFF,,,,,
,OP10工位状态[2].Stopped,BOOL,,OFF,,,,,
,OP10工位状态[2].Stopping,BOOL,,OFF,,,,,
,OP10工位状态[2].AutoRunning,BOOL,,OFF,,,,,
,OP10工位状态[2].Homing,BOOL,,OFF,,,,,
,OP10工位状态[2].HomeDone,BOOL,,OFF,,,,,
,OP10工位状态[2].ManualMoved,BOOL,,OFF,,,,,
,OP10工位状态[2].ReadyForNext,BOOL,,OFF,,,,,
,OP10工位状态[2].Err,UDT_ERR,,,,,,,
,OP10工位状态[2].Err.Flag,BOOL,,OFF,,,,,
,OP10工位状态[2].Err.Lv1Flag,BOOL,,OFF,,,,,
,OP10工位状态[2].Err.Lv2Flag,BOOL,,OFF,,,,,
