#变量导出文件（汇川）
#2026-08-31 13:02:34
#AutoShop:EasyMonitor{7B227DD0-A910-41dd-ADC7-1999B3FA3BC8}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"三轴空闲",,"Bool","1","1","UB 210056B","100ms","1",,,,"",1
"三轴故障",,"Bool","1","1","UB 210056C","100ms","1",,,,"",1
"三轴复位",,"Bool","1","1","UB 210056D","100ms","1",,,,"",1
"三轴初始化",,"Bool","1","1","UB 210056E","100ms","1",,,,"",1
"三轴初始化完成",,"Bool","1","1","UB 210056F","100ms","1",,,,"",1
"三轴目标位置代码",,"Int16","2","1","UW 2102E00","100ms","1",,,,"",1
"三轴目标取放料代码",,"Int16","2","1","UW 2102E10","100ms","1",,,,"",1
"三轴动作代码",,"Int16","2","1","UW 2102E20","100ms","1",,,,"",1
"三轴动作触发",,"Bool","1","1","UB 2102E30","100ms","1",,,,"",1
"三轴动作完成",,"Bool","1","1","UB 2102E31","100ms","1",,,,"",1
"蠕动泵阀号",,"Int16","2","1","UW 2100D10","100ms","1",,,,"",1
"浸泡时间",,"Int32","4","1","UW 2100D20","100ms","1",,,,"",1
"清洗时间",,"Int32","4","1","UW 2100D40","100ms","1",,,,"",1
"吹气时间",,"Int32","4","1","UW 2100D60","100ms","1",,,,"",1
"磁搅控制[0].磁搅参数温度",,"Int16","2","1","UW 2100D80","100ms","1",,,,"",1
"磁搅控制[0].磁搅参数时间",,"Int16","2","1","UW 2100D90","100ms","1",,,,"",1
"磁搅控制[0].磁搅参数速度",,"Int16","2","1","UW 2100DA0","100ms","1",,,,"",1
"磁搅控制[0].磁搅占位",,"Bool","1","1","UB 2100DB0","100ms","1",,,,"",1
"磁搅控制[0].磁搅请求加工",,"Bool","1","1","UB 2100DB1","100ms","1",,,,"",1
"磁搅控制[0].磁搅参数已下发",,"Bool","1","1","UB 2100DB2","100ms","1",,,,"",1
"磁搅控制[0].磁搅参数已执行",,"Bool","1","1","UB 2100DB3","100ms","1",,,,"",1
"磁搅控制[0].磁搅开始加工",,"Bool","1","1","UB 2100DB4","100ms","1",,,,"",1
"磁搅控制[0].磁搅加工完成",,"Bool","1","1","UB 2100DB5","100ms","1",,,,"",1
"磁搅控制[0].磁搅初始化",,"Bool","1","1","UB 2100DB6","100ms","1",,,,"",1
"磁搅控制[0].磁搅初始化完成",,"Bool","1","1","UB 2100DB7","100ms","1",,,,"",1
"磁搅控制[1].磁搅参数温度",,"Int16","2","1","UW 2100DC0","100ms","1",,,,"",1
"磁搅控制[1].磁搅参数时间",,"Int16","2","1","UW 2100DD0","100ms","1",,,,"",1
"磁搅控制[1].磁搅参数速度",,"Int16","2","1","UW 2100DE0","100ms","1",,,,"",1
"磁搅控制[1].磁搅占位",,"Bool","1","1","UB 2100DF0","100ms","1",,,,"",1
"磁搅控制[1].磁搅请求加工",,"Bool","1","1","UB 2100DF1","100ms","1",,,,"",1
"磁搅控制[1].磁搅参数已下发",,"Bool","1","1","UB 2100DF2","100ms","1",,,,"",1
"磁搅控制[1].磁搅参数已执行",,"Bool","1","1","UB 2100DF3","100ms","1",,,,"",1
"磁搅控制[1].磁搅开始加工",,"Bool","1","1","UB 2100DF4","100ms","1",,,,"",1
"磁搅控制[1].磁搅加工完成",,"Bool","1","1","UB 2100DF5","100ms","1",,,,"",1
"磁搅控制[1].磁搅初始化",,"Bool","1","1","UB 2100DF6","100ms","1",,,,"",1
"磁搅控制[1].磁搅初始化完成",,"Bool","1","1","UB 2100DF7","100ms","1",,,,"",1
