Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
磁力搅拌参数设置_C[0].搅拌速度,mag_stirrer_c0_stir_speed,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].搅拌速度
磁力搅拌参数设置_C[0].加热温度,mag_stirrer_c0_heat_temp,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热温度
磁力搅拌参数设置_C[0].时间设置,mag_stirrer_c0_time_set,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].时间设置
磁力搅拌参数设置_C[0].返回设定速度,mag_stirrer_c0_return_speed_setpoint,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定速度
磁力搅拌参数设置_C[0].返回实际速度,mag_stirrer_c0_return_speed_actual,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际速度
磁力搅拌参数设置_C[0].返回设定温度,mag_stirrer_c0_return_temp_setpoint,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定温度
磁力搅拌参数设置_C[0].返回实际温度,mag_stirrer_c0_return_temp_actual,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际温度
磁力搅拌参数设置_C[0].返回设定时间,mag_stirrer_c0_return_time_setpoint,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定时间
磁力搅拌参数设置_C[0].返回实际时间,mag_stirrer_c0_return_time_actual,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际时间
磁力搅拌参数设置_C[0].工作模式设置,mag_stirrer_c0_work_mode_set,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].工作模式设置
磁力搅拌参数设置_C[0].加热模式设置,mag_stirrer_c0_heat_mode_set,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式设置
磁力搅拌参数设置_C[0].温度单位,mag_stirrer_c0_temp_unit,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].温度单位
磁力搅拌参数设置_C[0].加热模式,mag_stirrer_c0_heat_mode,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式
磁力搅拌参数设置_C[0].仪器模式,mag_stirrer_c0_instrument_mode,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].仪器模式
磁力搅拌参数设置_C[0].安全温度,mag_stirrer_c0_safe_temp,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].安全温度
磁力搅拌参数设置_C[1].搅拌速度,mag_stirrer_c1_stir_speed,VARIABLE,INT16,Chinese,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].搅拌速度
