Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
初始化PC,K0125,Boolean,1,R/W,100,,,,,,,,,,,
初始化完成PC,K0126,Boolean,1,R/W,100,,,,,,,,,,,
机器人初始化,K0142,Long,1,R/W,100,,,,,,,,,,,
机器人初始化完成,K0088,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测1开始,K0099,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测1完成,K0082,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测2开始,K0100,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测2完成,K0083,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测3开始,K0101,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测3完成,K0084,Boolean,1,R/W,100,,,,,,,,,,,
机器人放检测编号,K0069,Long,1,R/W,100,,,,,,,,,,,
机器人放烧杯编号,K0138,Long,1,R/W,100,,,,,,,,,,,
机器人机器人安全点,K0105,Boolean,1,R/W,100,,,,,,,,,,,
机器人机器人安全区域1,K0106,Boolean,1,R/W,100,,,,,,,,,,,
机器人机器人安全区域2,K0107,Boolean,1,R/W,100,,,,,,,,,,,
机器人机器人安全区域3,K0108,Boolean,1,R/W,100,,,,,,,,,,,
机器人空闲,K0120,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯1开始,K0094,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯1完成,K0077,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯2开始,K0095,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯2完成,K0078,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯3开始,K0096,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯3完成,K0079,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯4开始,K0097,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯4完成,K0080,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯5开始,K0098,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架放烧杯5完成,K0081,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯1开始,K0089,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯1完成,K0072,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯2开始,K0090,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯2完成,K0073,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯3开始,K0091,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯3完成,K0074,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯4开始,K0092,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯4完成,K0075,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯5开始,K0093,Boolean,1,R/W,100,,,,,,,,,,,
机器人料架取烧杯5完成,K0076,Boolean,1,R/W,100,,,,,,,,,,,
机器人取检测1开始,K0102,Boolean,1,R/W,100,,,,,,,,,,,
机器人取检测1完成,K0085,Boolean,1,R/W,100,,,,,,,,,,,
机器人取检测2开始,K0103,Boolean,1,R/W,100,,,,,,,,,,,
机器人取检测2完成,K0086,Boolean,1,R/W,100,,,,,,,,,,,
