OPC UA服务器地址：opc.tcp://192.168.6.6:4840,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
设备模块,,,,,NodeId,点位名称,数据类型,读写,描述
"锁紧模块
1=X向左
2=X向右
3=Y向左
4=Y向右
5=Z1向左
6=Z1向右
7=Z2向左
8=Z2向右
9=夹爪夹取
10=夹爪放置
11=电批拧紧
12=电批拧松
13=夹爪夹紧
14=夹爪松开
16=复位",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosFB,X位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosFB,Y位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosFB,Z1位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosFB,Z2位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosSet,X运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosSet,Y运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosSet,Z1运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosSet,Z2运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XSpeed,X速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YSpeed,Y速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1Speed,Z1速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2Speed,Z2速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CmdTrig,指令触发,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_JawPosition,夹爪位置,Double,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_JawForce,夹爪力度,Double,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"快换
1=X向左
2=X向右
3=Z1向左
4=Z1向右
5=Z2向左
6=Z2向右
7=推轴向左
8=推轴向右
9=Z3向左
10=Z3向右
11=物料顶出
12=物料放置
13=磁力搅拌运行
14=复位",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XPosFB,X位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z1PosFB,Z1位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z2PosFB,Z2位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushPosFB,推轴反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z3PosFB,Z3位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XPosSet,X运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_TopZPosSet,顶料Z位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_TakeZPosSet,接料Z位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushPosSet,推轴运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushZPosSet,压料Z运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XSpeed,X速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z1Speed,Z1速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z2Speed,Z2速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushSpeed,推轴速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z3Speed,Z3速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CmdTrig,指令触发,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirRPM,磁力搅拌转速,Int16,,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirTemp,磁力搅拌温度,Int16,,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirTime,磁力搅拌时间(分),Int16,,
,,,,,,,,,
,,,,,,,,,
"离心机
1=Y向左
2=Y向右
3=Z向左
4=Z向右
5=放入物料
6=运行离心机
7=取出物料
8=复位
9=夹爪张开
10=夹爪夹紧",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YPosFB,Y位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZPosFB,Z位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YPosSet,Y运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZPosSet,台面Z位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_InnerZPosSet,离心机内Z位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_RPM,离心机转速,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_Time,离心机时间,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_PlateNo,"离心机里板位号(1,2,3,4)",Int16,W,
,,,,,,,,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YSpeed,Y速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZSpeed,Z速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CmdTrig,指令触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"离心管液体处理
1=X向左
2=X向右
3=Y向前
4=Y向后
5=8通道Z向上
6=8通道Z向下
7=8通道移液吸
8=8通道移液放
9=大夹爪Z向上
10=大夹爪Z向下
11=单通道移液吸
12=单通道移液放
13=单通道向上
14=单通道向下
15=小夹爪向上
16=小夹爪向下
17=磁力架轴向上
18=磁力架轴向下
19=8通道装载
20=8通道吸液
21=8通道放液
22=8通道卸载
23=单通道装载
24=单通道吸液
25=单通道放液
26=单通道卸载
27=小夹爪开盖
28=小夹爪关盖
29=小夹爪抓取
30=小夹爪放置
31=大夹爪抓取
32=大夹爪放置
33=单通道混匀
34=8通道混匀
35=超神波混匀
36=复位
37=xyz回原点
38=模块1恒温打开
39=模块1恒温关闭
40=模块2恒温打开
41=模块2恒温关闭
42=模块3恒温打开
43=模块3恒温关闭
44=模块4恒温打开
45=模块4恒温关闭
46=模块4震荡打开
47=模块4震荡关闭 48",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_XPosFB,X位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_YPosFB,Y位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z1PosFB,Z1位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P1PosFB,P1位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z2PosFB,Z2位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P2PosFB,P2位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z3PosFB,Z3位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z4PosFB,Z4位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_MPosFB,M轴位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule1_TemperatureFB,恒温模块1温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule2_TemperatureFB,恒温模块2温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule3_TemperatureFB,恒温模块3温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule4_TemperatureFB,恒温模块4温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_XPosSet,X运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_YPosSet,Y运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z1PosSet,Z1运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P1PosSet,P1运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z2PosSet,Z2运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P2PosSet,P2运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z3PosSet,Z3运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z4PosSet,Z4运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_MPosSet,M轴运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_XSpeed,X速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_YSpeed,Y速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z1Speed,Z1速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P1Speed,P1速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z2Speed,Z2速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P2Speed,P2速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z3Speed,Z3速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z4Speed,Z4速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_MSpeed,M轴速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_CmdTrig,指令触发,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Ch8Blow,8通道吹样,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Ch1Blow,单通道吹样,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Ch8ReverseAspirate,8通道反向吸液,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Ch1ReverseAspirate,单通道反向吸液,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperAngle,小夹爪旋转角度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperForce,小夹爪力度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_MixCounts,混匀次数,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperOpenLidStart,小夹爪开盖初始位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperOpenLidEnd,小夹爪开盖结束位置,Int16,W,
