PLC写机器人寄存器,,,PLC读机器人寄存器,
寄存器,,,,
,,,,
,,,319=0（没有报警） 319,机器人报警代码
300 = 1 ,PLC给机器人回到原点信号,,320=1,回原点完成
301=1，301=2，301=3， 301=4，,机器人手动模式，机器人自动模式，停止，复位,,,
,,,,
302 =1,机器人第七轴到达紧缩机构 ,,,
302 =2,机器人第七轴到快换机构 ,,,
302 =3,机器人第七轴到离心机 ,,,
302 =4,机器人第七轴到9320标机,,,
302 =5,机器人第七轴到离心管液体处理工站,,,
302 =6,机器人第七轴到堆栈,,,
302 =7,机器人第七轴到固体加样,,,
302 =8,烘箱到位,,329=1,plc控制机器人停止
302 =9,真空烘箱到位,,,
302 =10,成品放置区,,,
,,,,
,,,,
,,,,
303 =1,烘箱第一个工位,,318=1,烘箱第一个工位完成
303 =2,烘箱第二个工位,,318=2,烘箱第二个工位完成
303 =3,烘箱第三个工位,,318=3,烘箱第三个工位完成
303 =4,烘箱第四个工位,,318=4,烘箱第四个工位完成
303 =5,烘箱第五个工位,,318=5,烘箱第五个工位完成
303 =6,,,318=9,
303 =7,,,318=10,
,,,,
,,,,
,,,,
,,,,
304 =1,紧缩机构第一个工位孔板,,321=1,紧缩机构第一个工位完成
304 =2,紧缩机构第二个工位,,321=2,紧缩机构第二个工位完成
304 =3,紧缩机构第三个工位,,321=3,紧缩机构第三个工位完成
304 =4,紧缩机构第四个工位,,321=4,紧缩机构第四个工位完成
304 =5,紧缩机构第五个工位,,321=5,紧缩机构第五个工位完成
304 =6,,,321=6,
304 =7,,,321=7,
304 =8,,,321=8,
304 =9,,,321=9,
304 =10,,,321=10,
304 =11,,,321=11,
304 =12,,,321=12,
304 =13,,,321=13,
304 =14,,,,
,,,,
,,,,
,,,,
305 =1,快换机构第一个工位 ,,322=1,快换机构第一个工位 完成
305 =2,快换机构第二个工位 ,,322=2,快换机构第二个工位 完成
305 =3,快换机构第三个工位 ,,322=3,快换机构第三个工位 完成
305 =4,快换机构第四个工位 ,,322=4,快换机构第四个工位 完成
305 =5,快换机构第五个工位 ,,322=5,快换机构第五个工位 完成
305 =6,,,322=6,
305 =7,,,322=7,
305 =8,,,322=8,
305 =9,,,322=9,
305 =10,,,322=10,
305 =11,,,322=11,
305 =12,,,,
,,,,
,,,,
,,,,
306 =1,离心机第一个工位 ,,323=1,离心机第一个工位   完成
306 =2,离心机第二个工位 ,,323=2,离心机第二个工位  完成
306 =3,离心机第三个工位 ,,323=3,离心机第三个工位  完成
306 =4,离心机第四个工位 ,,323=4,离心机第四个工位  完成
306 =5,离心机第五个工位 ,,323=5,离心机第五个工位  完成
306 =6,,,323=6,
306 =7,,,323=7,
306 =8,,,323=8,
306 =9,,,323=9,
306 =10,,,323=10,
306 =11,,,,
,,,,
,,,,
,,,,
307 =1,9320标机第一个工位 ,,324=1,9320标机第一个工位 完成
307 =2,9321标机第二个工位 ,,324=2,9321标机第二个工位 完成
307 =3,9322标机第三个工位 ,,324=3,9322标机第三个工位 完成
307 =4,9323标机第四个工位 ,,324=4,9323标机第四个工位 完成
307 =5,9324标机第五个工位 ,,324=5,9324标机第五个工位 完成
307 =6,9325标机第六个工位 ,,324=6,9325标机第六个工位 完成
307 =7,,,324=7,
307 =8,,,324=8,
307 =9,,,324=9,
307 =10,,,324=10,
307 =11,,,,
,,,,
,,,,
,,,,
308 =1,离心管液体处理工站第一个工位 ,,325=1,离心管液体处理工站第一个工位 完成
308 =2,离心管液体处理工站第二个工位 ,,325=2,离心管液体处理工站第二个工位 完成
308 =3,离心管液体处理工站第三个工位 ,,325=3,离心管液体处理工站第三个工位 完成
308 =4,离心管液体处理工站第四个工位 ,,325=4,离心管液体处理工站第四个工位 完成
308 =5,离心管液体处理工站第五个工位 ,,325=5,离心管液体处理工站第五个工位 完成
308 =6,离心管液体处理工站第六个工位 ,,325=6,离心管液体处理工站第六个工位 完成
308 =7,,,325=7,
308 =8,,,325=8,
308 =9,,,325=9,
308 =10,,,,
,,,,
,,,,
,,,,
309 =1,堆栈第一列第1层 X轴3274,,326=1,堆栈第一列第1层完成
309 =2,堆栈第一列第2层,,326=2,堆栈第一列第2层
309 =3,堆栈第一列第3层,,326=3,堆栈第一列第3层
309 =4,堆栈第一列第4层,,326=4,堆栈第一列第4层
309 =5,堆栈第一列第5层,,326=5,堆栈第一列第5层
309 =6,堆栈第一列第6层,,326=6,堆栈第一列第6层
309 =7,堆栈第一列第7层,,326=7,堆栈第一列第7层
309 =8,堆栈第一列第8层,,326=8,堆栈第一列第8层
309 =9,堆栈第二列第1层,,326=9,堆栈第二列第1层
309 =10,堆栈第二列第2层,,326=10,堆栈第二列第2层
309 =11,堆栈第二列第3层,,326=11,堆栈第二列第3层
309 =12,堆栈第二列第4层,,326=12,堆栈第二列第4层
309 =13,堆栈第二列第5层,,326=13,堆栈第二列第5层
309 =14,堆栈第二列第6层,,326=14,堆栈第二列第6层
309 =15,堆栈第二列第7层,,326=15,堆栈第二列第7层
309 =16,堆栈第二列第8层,,326=16,堆栈第二列第8层
309 =17,堆栈第三列第1层,,326=17,堆栈第三列第1层
309 =18,堆栈第三列第2层,,326=18,堆栈第三列第2层
309 =19,堆栈第三列第3层,,326=19,堆栈第三列第3层
309 =20,堆栈第三列第4层,,326=20,堆栈第三列第4层
309 =21,堆栈第三列第5层,,326=21,堆栈第三列第5层
309 =22,堆栈第三列第6层,,326=22,堆栈第三列第6层
309 =23,堆栈第三列第7层,,326=23,堆栈第三列第7层
309 =24,堆栈第三列第8层,,326=24,堆栈第三列第8层
309 =25,堆栈第四列第1层,,326=25,堆栈第四列第1层
309 =26,堆栈第四列第2层,,326=26,堆栈第四列第2层
309 =27,堆栈第四列第3层,,326=27,堆栈第四列第3层
309 =28,堆栈第四列第4层,,326=28,堆栈第四列第4层
309 =29,堆栈第四列第5层,,326=29,堆栈第四列第5层
309 =30,堆栈第四列第6层,,326=30,堆栈第四列第6层
309 =31,堆栈第五列第1层,,326=31,堆栈第四列第7层
309 =32,堆栈第五列第2层,,326=32,堆栈第四列第8层
309 =33,堆栈第五列第3层,,326=33,堆栈第四列第9层
309 =34,堆栈第五列第4层,,326=34,堆栈第四列第10层
309 =35,堆栈第五列第5层,,326=35,堆栈第四列第11层
309 =36,堆栈第五列第6层,,326=36,堆栈第五列第1层
309 =37,堆栈第五列第7层,,326=37,堆栈第五列第2层
309 =38,堆栈第五列第8层,,326=38,堆栈第五列第3层
