Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
锁紧模块X位置反馈,Lock_XPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosFB,"锁紧模块
1=X向左
2=X向右
3=Y向左
4=Y向右
5=Z1向左
6=Z1向右
7=Z2向左
8=Z2向右
9=夹爪夹取
10=夹爪放置
11=电批拧紧
12=电批拧松
13=夹爪夹紧
14=夹爪松开
16=复位"
锁紧模块Y位置反馈,Lock_YPosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosFB,
锁紧模块Z1位置反馈,Lock_Z1PosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosFB,
锁紧模块Z2位置反馈,Lock_Z2PosFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosFB,
锁紧模块完成反馈,Lock_CompleteFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CompleteFB,
锁紧模块X运行位置,Lock_XPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosSet,
锁紧模块Y运行位置,Lock_YPosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosSet,
锁紧模块Z1运行位置,Lock_Z1PosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosSet,
锁紧模块Z2运行位置,Lock_Z2PosSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosSet,
锁紧模块X速度,Lock_XSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XSpeed,
锁紧模块Y速度,Lock_YSpeed,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YSpeed,
