Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,描述,设备模块指令
Lock_XPosFB,Lock_XPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosFB,X位置反馈,
Lock_YPosFB,Lock_YPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosFB,Y位置反馈,
Lock_Z1PosFB,Lock_Z1PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosFB,Z1位置反馈,
Lock_Z2PosFB,Lock_Z2PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosFB,Z2位置反馈,
Lock_CompleteFB,Lock_CompleteFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CompleteFB,完成反馈,
Lock_XPosSet,Lock_XPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XPosSet,X运行位置,
Lock_YPosSet,Lock_YPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YPosSet,Y运行位置,
Lock_Z1PosSet,Lock_Z1PosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1PosSet,Z1运行位置,
Lock_Z2PosSet,Lock_Z2PosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2PosSet,Z2运行位置,
Lock_XSpeed,Lock_XSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_XSpeed,X速度,
Lock_YSpeed,Lock_YSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_YSpeed,Y速度,
Lock_Z1Speed,Lock_Z1Speed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z1Speed,Z1速度,
Lock_Z2Speed,Lock_Z2Speed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_Z2Speed,Z2速度,
Lock_CmdType,Lock_CmdType,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CmdType,指令类型,锁紧模块: 1=X向左;2=X向右;3=Y向左;4=Y向右;5=Z1向左;6=Z1向右;7=Z2向左;8=Z2向右;9=夹爪夹取;10=夹爪放置;11=电批拧紧;12=电批拧松;13=夹爪夹紧;14=夹爪松开;16=复位
Lock_CmdTrig,Lock_CmdTrig,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_CmdTrig,指令触发,
Lock_JawPosition,Lock_JawPosition,VARIABLE,DOUBLE,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_JawPosition,夹爪位置,
Lock_JawForce,Lock_JawForce,VARIABLE,DOUBLE,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Lock_JawForce,夹爪力度,
QuickChange_XPosFB,QuickChange_XPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XPosFB,X位置反馈,
QuickChange_Z1PosFB,QuickChange_Z1PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z1PosFB,Z1位置反馈,
QuickChange_Z2PosFB,QuickChange_Z2PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z2PosFB,Z2位置反馈,
