序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,传感器状态_上位机[3].NO[14],BOOL,,,,,开盖工位1,R10003.14,
2,传感器状态_上位机[3].NO[15],BOOL,,,,,开盖工位2,R10003.15,
3,传感器状态_上位机[4].NO[0],BOOL,,,,,放瓶盖工位1,R10004.0,
4,传感器状态_上位机[4].NO[1],BOOL,,,,,放瓶盖工位2,R10004.1,
5,传感器状态_上位机[4].NO[2],BOOL,,,,,放瓶盖工位3,R10004.2,
6,传感器状态_上位机[4].NO[3],BOOL,,,,,放瓶盖工位4,R10004.3,
7,传感器状态_上位机[4].NO[4],BOOL,,,,,放瓶盖工位5,R10004.4,
8,S08原点信号,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC,R10550.0,
9,S08允许加工,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC ,R10550.1,
10,S08参数写入完成,BOOL,,OFF,保持,公有,S08开关盖工位-PC TO PLC,R10550.2,
11,S08工艺选择,INT,,0,保持,公有,S08开关盖工位-PC TO PLC 1-6,R10551,
12,S082瓶盖暂存位,INT,,0,保持,公有,取放瓶盖工位 PC TO PLC  1-5,R10552,
13,S08工艺完成,INT,,0,保持,公有,S08开关盖工位-PLC TO PC 1-6,R10553,
14,S082_1数据缓存[0],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10560,
15,S082_1数据缓存[1],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10561,
16,S082_1数据缓存[2],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10562,
17,S082_1数据缓存[3],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10563,
18,S082_1数据缓存[4],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10564,
19,S082_1数据缓存[5],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10565,
20,S082_1数据缓存[6],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10566,
21,S082_1数据缓存[7],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10567,
22,S082_1数据缓存[8],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10568,
23,S082_1数据缓存[9],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10569,
24,S082_1数据缓存[10],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10570,
25,S082_1数据缓存[11],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10571,
26,S082_1数据缓存[12],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10572,
27,S082_1数据缓存[13],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10573,
28,S082_1数据缓存[14],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10574,
29,S082_1数据缓存[15],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10575,
30,S082_1数据缓存[16],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10576,
31,S082_1数据缓存[17],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10577,
32,S082_1数据缓存[18],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10578,
33,S082_1数据缓存[19],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10579,
34,S082_1数据缓存[20],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10580,
35,S082_1数据缓存[21],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10581,
36,S082_1数据缓存[22],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10582,
37,S082_1数据缓存[23],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10583,
38,S082_1数据缓存[24],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10584,
39,S082_1数据缓存[25],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10585,
40,S082_1数据缓存[26],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10586,
41,S082_1数据缓存[27],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10587,
42,S082_1数据缓存[28],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10588,
43,S082_1数据缓存[29],INT,,0,保持,公有,放瓶盖工位1样品ID缓存 PC-PLC,R10589,
44,S082_2数据缓存[0],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10590,
45,S082_2数据缓存[1],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10591,
46,S082_2数据缓存[2],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10592,
47,S082_2数据缓存[3],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10593,
48,S082_2数据缓存[4],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10594,
49,S082_2数据缓存[5],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10595,
50,S082_2数据缓存[6],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10596,
51,S082_2数据缓存[7],INT,,0,保持,公有,放瓶盖工位2样品ID缓存 PC-PLC,R10597,
