序号,变量名,数据类型
1,S041允许加工,BOOL
2,S041磁搅工艺选择,INT
3,S041参数写入完成,BOOL
4,S041加工完成,BOOL
5,磁搅温度反馈_上位机[0],REAL
6,磁搅速度设置_上位机[0],INT
7,磁搅温度设置_上位机[0],INT
8,磁搅时间设置_上位机[0],DINT
9,磁搅安全温度设置_上位机[0],INT
10,S042允许加工,BOOL
11,S042磁搅工艺选择,INT
12,S042参数写入完成,BOOL
13,S042加工完成,BOOL
14,磁搅温度反馈_上位机[1],REAL
15,磁搅速度设置_上位机[1],INT
16,磁搅温度设置_上位机[1],INT
17,磁搅时间设置_上位机[1],DINT
18,磁搅安全温度设置_上位机[1],INT
19,S043允许加工,BOOL
20,S043磁搅工艺选择,INT
21,S043参数写入完成,BOOL
22,S043加工完成,BOOL
23,磁搅温度反馈_上位机[2],REAL
24,磁搅速度设置_上位机[2],INT
25,磁搅温度设置_上位机[2],INT
26,磁搅时间设置_上位机[2],DINT
27,磁搅安全温度设置_上位机[2],INT
28,S044允许加工,BOOL
29,S044磁搅工艺选择,INT
30,S044参数写入完成,BOOL
31,S044加工完成,BOOL
32,磁搅温度反馈_上位机[3],REAL
33,磁搅速度设置_上位机[3],INT
34,磁搅温度设置_上位机[3],INT
35,磁搅时间设置_上位机[3],DINT
36,磁搅安全温度设置_上位机[3],INT
37,S045允许加工,BOOL
38,S045磁搅工艺选择,INT
39,S045参数写入完成,BOOL
40,S045加工完成,BOOL
41,磁搅温度反馈_上位机[4],REAL
42,磁搅速度设置_上位机[4],INT
43,磁搅温度设置_上位机[4],INT
44,磁搅时间设置_上位机[4],DINT
45,磁搅安全温度设置_上位机[4],INT
46,S046允许加工,BOOL
47,S046磁搅工艺选择,INT
48,S046参数写入完成,BOOL
49,S046加工完成,BOOL
50,磁搅温度反馈_上位机[5],REAL
51,磁搅速度设置_上位机[5],INT
52,磁搅温度设置_上位机[5],INT
53,磁搅时间设置_上位机[5],DINT
54,磁搅安全温度设置_上位机[5],INT
