序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,S06准备信号,BOOL,,ON,保持,公有,加溶液工位 PLC TO PC,R10540.0
2,S06允许加工,BOOL,,ON,保持,公有,加溶液工位 放料完成等待参数下发 PLC TO PC,R10540.1
3,S06工艺选择,INT,,0,保持,公有,PC TO PLC 1.只加1号溶液 2.只加2号溶液 3.1和2溶液都添加,R10541
4,S06_1号溶液添加量,INT,,5,保持,公有,加溶液工位参数 PC TO PLC,R10542
5,S06_2号溶液添加量,INT,,8,保持,公有,加溶液工位参数 PC TO PLC,R10543
6,S06参数写入完成,BOOL,,OFF,保持,公有,加溶液工位 PC TO PLC,R10540.2
7,S06加工完成,BOOL,,OFF,保持,公有,加溶液工位 PLC TO PC,R10540.3
8,传感器状态_上位机[3].NO[1],BOOL,,ON,不保持,公有,加溶剂检测,R10003.1
9,传感器状态_上位机[4].NO[12],BOOL,,ON,不保持,公有,液体试剂瓶1-1,R10004.12
10,传感器状态_上位机[5].NO[1],BOOL,,ON,不保持,公有,液体试剂瓶2-1,R10005.1
11,S03_1取料编号,INT,,0,不保持,公有,机械臂取料位,
12,S03_1放料编号,INT,,0,不保持,公有,机械臂放料位,
