序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,传感器状态_上位机[3].NO[8],BOOL,,OFF,,,固体粉末容器1-1,R10003.8,
2,传感器状态_上位机[3].NO[9],BOOL,,OFF,,,固体粉末容器1-2,R10003.9,
3,传感器状态_上位机[3].NO[10],BOOL,,OFF,,,固体粉末容器1-3,R10003.10,
4,传感器状态_上位机[3].NO[11],BOOL,,OFF,,,固体粉末容器2-1,R10003.11,
5,传感器状态_上位机[3].NO[12],BOOL,,OFF,,,固体粉末容器2-2,R10003.12,
6,传感器状态_上位机[3].NO[13],BOOL,,OFF,,,固体粉末容器2-3,R10003.13,
7,工站状态[6],INT,,0,,,S07状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10836,
8,S071取放料编号,INT,,0,不保持,公有,PC-PLC  ,,
9,S072取放料产品,INT,,0,不保持,公有,PC-PLC  ,,
10,S07原点信号,BOOL,,OFF,保持,公有,PC-PLC 机器人可以取放料,,
11,S07允许加工,BOOL,,OFF,不保持,公有,PLC-PC,,
12,S07工艺选择,INT,,0,不保持,公有,PC-PLC 1.粉罐扫码盘点 2.替换粉罐旋转到进料位 3.注粉,,
13,S07参数写入完成,BOOL,,OFF,不保持,公有,PC-PLC ,,
14,S07工艺完成,INT,,0,不保持,公有,PLC-PC,,
15,S07上下料位置,INT,,0,不保持,公有,PC-PLC 机器人取放料粉罐位,,
16,S07粗注粉位置号,INT,,0,不保持,公有,PC-PLC 注粉位置号,,
17,S07精注粉位置号,INT,,0,不保持,公有,PC-PLC 注粉位置号,,
18,S07注粉重量,REAL,,0.000000,不保持,公有,PC-PLC ,,
19,S07_粗注粉开口量[0],INT,,0,,,,,
20,S07_粗注粉开口量[1],INT,,0,,,,,
21,S07_粗注粉开口量[2],INT,,0,,,,,
22,S07_粗注粉开口量[3],INT,,0,,,,,
23,S07_粗注粉开口量[4],INT,,0,,,,,
24,S07_粗注粉落粉匀速[0],REAL,,0.000000,,,,,
25,S07_粗注粉落粉匀速[1],REAL,,0.000000,,,,,
26,S07_粗注粉落粉匀速[2],REAL,,0.000000,,,,,
27,S07_粗注粉落粉匀速[3],REAL,,0.000000,,,,,
28,S07_粗注粉落粉匀速[4],REAL,,0.000000,,,,,
29,S07_粗注粉旋转速度[0],INT,,0,,,,,
30,S07_粗注粉旋转速度[1],INT,,0,,,,,
31,S07_粗注粉旋转速度[2],INT,,0,,,,,
32,S07_粗注粉旋转速度[3],INT,,0,,,,,
33,S07_粗注粉旋转速度[4],INT,,0,,,,,
34,S07_粗注粉提请停止量[0],DINT,,0,,,,,
35,S07_粗注粉提请停止量[1],DINT,,0,,,,,
36,S07_粗注粉提请停止量[2],DINT,,0,,,,,
37,S07_粗注粉提请停止量[3],DINT,,0,,,,,
38,S07_粗注粉提请停止量[4],DINT,,0,,,,,
39,S07_粗注粉震荡最高速度,INT,,0,不保持,公有,PC-PLC ,,
40,S07_精注粉开口量[0],INT,,0,,,,,
41,S07_精注粉开口量[1],INT,,0,,,,,
42,S07_精注粉开口量[2],INT,,0,,,,,
43,S07_精注粉开口量[3],INT,,0,,,,,
44,S07_精注粉开口量[4],INT,,0,,,,,
45,S07_精注粉落粉匀速[0],REAL,,0.000000,,,,,
46,S07_精注粉落粉匀速[1],REAL,,0.000000,,,,,
47,S07_精注粉落粉匀速[2],REAL,,0.000000,,,,,
48,S07_精注粉落粉匀速[3],REAL,,0.000000,,,,,
49,S07_精注粉落粉匀速[4],REAL,,0.000000,,,,,
50,S07_精注粉旋转速度[0],INT,,0,,,,,
51,S07_精注粉旋转速度[1],INT,,0,,,,,
52,S07_精注粉旋转速度[2],INT,,0,,,,,
53,S07_精注粉旋转速度[3],INT,,0,,,,,
54,S07_精注粉旋转速度[4],INT,,0,,,,,
55,S07_精注粉提请停止量[0],DINT,,0,,,,,
56,S07_精注粉提请停止量[1],DINT,,0,,,,,
57,S07_精注粉提请停止量[2],DINT,,0,,,,,
58,S07_精注粉提请停止量[3],DINT,,0,,,,,
59,S07_精注粉提请停止量[4],DINT,,0,,,,,
60,S07_精注粉震荡最高速度,INT,,0,不保持,公有,PC-PLC ,,
61,S07位置1二维码[0],INT,,0,,,,,
62,S07位置1二维码[1],INT,,0,,,,,
63,S07位置1二维码[2],INT,,0,,,,,
64,S07位置1二维码[3],INT,,0,,,,,
65,S07位置1二维码[4],INT,,0,,,,,
66,S07位置1二维码[5],INT,,0,,,,,
67,S07位置1二维码[6],INT,,0,,,,,
68,S07位置1二维码[7],INT,,0,,,,,
69,S07位置1二维码[8],INT,,0,,,,,
70,S07位置1二维码[9],INT,,0,,,,,
71,S07位置1二维码[10],INT,,0,,,,,
72,S07位置1二维码[11],INT,,0,,,,,
73,S07位置1二维码[12],INT,,0,,,,,
74,S07位置1二维码[13],INT,,0,,,,,
75,S07位置1二维码[14],INT,,0,,,,,
76,S07位置1二维码[15],INT,,0,,,,,
77,S07位置1二维码[16],INT,,0,,,,,
78,S07位置1二维码[17],INT,,0,,,,,
79,S07位置1二维码[18],INT,,0,,,,,
80,S07位置1二维码[19],INT,,0,,,,,
81,S07位置1二维码[20],INT,,0,,,,,
82,S07位置1二维码[21],INT,,0,,,,,
83,S07位置1二维码[22],INT,,0,,,,,
84,S07位置1二维码[23],INT,,0,,,,,
85,S07位置1二维码[24],INT,,0,,,,,
86,S07位置1二维码[25],INT,,0,,,,,
87,S07位置1二维码[26],INT,,0,,,,,
88,S07位置1二维码[27],INT,,0,,,,,
89,S07位置1二维码[28],INT,,0,,,,,
90,S07位置1二维码[29],INT,,0,,,,,
91,S07位置2二维码[0],INT,,0,,,,,
